fcode,year,month,obs_dengue_cases,population,area,ws_avg,ws_min,ws_max,t2m_avg,t2m_min,t2m_max,rh_avg,rh_min,rh_max,tp_accum,l1_code,l1_name
TTYTKV_AN_BIEN_KG,2010,1,1,160695,400.28999999999996,3.0152020999999998,1.8678461625806448,4.2912659032258045,299.5286196774194,296.45339516129036,303.17403516129036,74.33817799999998,56.557743967741935,90.75679145161294,0.05732031962978001,91,
TTYTKV_AN_BIEN_KG,2010,2,1,160695,400.28999999999996,3.1778595142857142,1.8868502882142857,4.491769978571428,301.08133428571426,297.0002507142857,306.05532357142863,69.80208610714286,45.63794992857144,92.61470703571429,0.006002001379299999,91,
TTYTKV_AN_BIEN_KG,2010,3,3,160695,400.28999999999996,2.9940917935483875,1.5053924025806453,4.272340093548387,302.2954351612903,298.6166964516128,307.0637425806452,66.53669409677418,44.14837790322581,86.82258322580644,0.039027090235,91,
TTYTKV_AN_BIEN_KG,2010,4,1,160695,400.28999999999996,2.36502204,0.9102997536666665,3.8497360566666665,302.8550303333333,299.4162533333334,307.63700666666665,71.02014343333333,47.609085433333334,89.68200329999999,0.109918329221,91,
TTYTKV_AN_BIEN_KG,2010,5,2,160695,400.28999999999996,2.430164922580645,1.2310431508064514,3.789703841935484,302.339949032258,300.080565483871,305.77288064516137,79.40619232258065,63.06142506451612,91.53079419354839,0.2762793083899999,91,
TTYTKV_AN_BIEN_KG,2010,6,6,160695,400.28999999999996,3.2666436199999995,2.167355763,4.887045643333334,300.7755836666666,299.1406319999999,303.16884300000004,86.15025673333334,75.77689183333334,93.51191523333334,0.34801418339999995,91,
TTYTKV_AN_BIEN_KG,2010,7,17,160695,400.28999999999996,3.1686167129032254,1.9860231987096773,4.650307583870967,300.1915974193549,298.66473032258057,302.50833935483877,86.40169167741936,75.64525580645162,94.00353170967745,0.36998214179999994,91,
TTYTKV_AN_BIEN_KG,2010,8,21,160695,400.28999999999996,3.424642396774193,2.152383548064516,4.934587341935484,300.15838483870965,298.65519677419354,302.429474516129,86.42014677419355,76.20205825806451,93.34502093548386,0.35219702550000004,91,
TTYTKV_AN_BIEN_KG,2010,9,27,160695,400.28999999999996,2.397220093333333,1.2058280440000002,3.982165176666667,300.0985273333334,298.24428766666665,302.8233129999999,85.89665649999999,73.51060913333332,94.68054323333334,0.41517119360000004,91,
TTYTKV_AN_BIEN_KG,2010,10,23,160695,400.28999999999996,3.46836445483871,2.3069544140645166,4.843737190322581,299.3632309677419,297.9166480645161,301.6851551612903,86.61294212903225,75.9495802580645,93.17294551612903,0.8619853637,91,
TTYTKV_AN_BIEN_KG,2010,11,9,160695,400.28999999999996,2.3888432466666667,1.2147792162000002,3.5250880400000004,298.9429773333333,297.0780006666667,302.0714513333333,85.79709563333331,71.89979673333333,93.81393826666667,0.4677691637,91,
TTYTKV_AN_BIEN_KG,2010,12,23,160695,400.28999999999996,2.042187129032258,0.7730098377419354,3.2908522967741933,298.646445483871,296.3376941935483,301.4684903225807,84.33817670967743,69.97553806451613,95.20157683870968,0.11531304526,91,
TTYTKV_AN_BIEN_KG,2011,1,4,160695,400.28999999999996,2.4559589290322585,1.1866704603225808,3.623990187096775,298.5203287096774,295.6969216129032,301.7980367741935,78.41289932258066,60.78599132258066,93.13083148387098,0.06256385016198,91,
TTYTKV_AN_BIEN_KG,2011,2,4,160695,400.28999999999996,2.752386153571429,1.2755189035714287,4.057698728571429,299.90360928571425,296.2996157142857,304.18413107142857,70.13709196428572,49.40774749999999,89.56031032142857,0.008602590261999998,91,
